Price,Income,Distance,Shirota,Fed,Population
21.63,9783.175,1240,64,szfo,978
21.64,13062.65,1240,64,szfo,978
21.64,7025.816667,1240,64,szfo,978
21.67,11093.425,440,56,pfo,3159
21.67,5085.975,1240,64,szfo,978
21.67,7475.708333,1240,64,szfo,978
21.68,14248.95,1240,64,szfo,978
21.69,6968.333333,1240,64,szfo,978
21.7,14904,1240,64,szfo,978
21.7,10704.8,1240,64,szfo,978
21.7,12019.75,710,60,szfo,5600
21.71,4826.25,710,60,szfo,5600
21.71,5631.75,710,60,szfo,5600
21.73,11357.23333,440,56,pfo,3159
21.74,10743.75,710,60,szfo,5600
21.77,12940.08333,440,56,pfo,3159
21.8,12240.14167,710,60,szfo,5600
21.84,7339.2,710,60,szfo,5600
21.84,11799.35833,710,60,szfo,5600
21.86,10494.05,710,60,szfo,5600
21.86,3861.25,710,60,szfo,5600
21.88,11040.18333,710,60,szfo,5600
21.89,5473.525,9170,43,dfo,1828
21.91,9878.45,710,60,szfo,5600
21.92,6413.25,9170,43,dfo,1828
21.92,14617.71667,710,60,szfo,5600
21.93,10116.06667,710,60,szfo,5600
21.94,6624.325,710,60,szfo,5600
21.94,5329.275,710,60,szfo,5600
21.94,11308.06667,710,60,szfo,5600
21.95,14910.8,710,60,szfo,5600
21.96,13918.025,710,60,szfo,5600
21.97,4013.7,710,60,szfo,5600
21.97,15241.725,710,60,szfo,5600
22,4999.4,9170,43,dfo,1828
22.01,10459.8,710,60,szfo,5600
22.01,11578.96667,710,60,szfo,5600
22.03,4912.825,710,60,szfo,5600
22.04,9571.9,440,56,pfo,3159
22.04,5530.925,710,60,szfo,5600
22.04,9640.833333,710,60,szfo,5600
22.04,17551.575,710,60,szfo,5600
22.05,12327.45,710,60,szfo,5600
22.05,9880.608333,710,60,szfo,5600
22.06,6906.575,710,60,szfo,5600
22.07,6520.733333,710,60,szfo,5600
22.08,12419.8,710,60,szfo,5600
22.09,8978.483333,710,60,szfo,5600
22.09,10353.68333,710,60,szfo,5600
22.13,6727.916667,710,60,szfo,5600
22.13,6522.283333,710,60,szfo,5600
22.15,10028.525,710,60,szfo,5600
22.16,12676.275,440,56,pfo,3159
22.16,14331.43333,710,60,szfo,5600
22.16,14848.88333,710,60,szfo,5600
22.18,10800.375,710,60,szfo,5600
22.2,13162.5,710,60,szfo,5600
22.22,6370.633333,710,60,szfo,5600
22.24,12613.73333,710,60,szfo,5600
22.26,6487.933333,710,60,szfo,5600
22.27,11389.25,710,60,szfo,5600
22.28,9403.216667,710,60,szfo,5600
22.3,14400.3,710,60,szfo,5600
22.3,9673.45,710,60,szfo,5600
22.3,8826.091667,710,60,szfo,5600
22.3,15063.46667,710,60,szfo,5600
22.31,10083.75,710,60,szfo,5600
22.33,12170.88333,710,60,szfo,5600
22.33,12017,710,60,szfo,5600
22.35,10214.8,710,60,szfo,5600
22.36,13587.1,710,60,szfo,5600
22.37,5430.1,710,60,szfo,5600
22.39,6623.183333,710,60,szfo,5600
22.39,8673.7,710,60,szfo,5600
22.39,9283.266667,710,60,szfo,5600
22.39,3937.475,710,60,szfo,5600
22.4,13882.16667,710,60,szfo,5600
22.41,7848.65,440,56,pfo,3159
22.41,6868.716667,710,60,szfo,5600
22.41,9435.658333,710,60,szfo,5600
22.42,11779.38333,710,60,szfo,5600
22.42,11619.2,710,60,szfo,5600
22.44,10595.7,710,60,szfo,5600
22.45,17990.6,710,60,szfo,5600
22.5,12901.31667,710,60,szfo,5600
22.52,11159.3,710,60,szfo,5600
22.53,7506.475,9170,43,dfo,1828
22.53,7664.166667,9170,43,dfo,1828
22.53,12647.48333,710,60,szfo,5600
22.53,10110.55,710,60,szfo,5600
22.54,7821.858333,9170,43,dfo,1828
22.55,7191.091667,9170,43,dfo,1828
